evaluator,scenario,example,rating,better
Zan,finetuned_gams9b_eval,1,4,1
Zan,finetuned_gams9b_eval,2,5,1
Zan,finetuned_gams9b_eval,3,1,0
Zan,finetuned_gams9b_eval,4,5,1
Zan,finetuned_gams9b_eval,5,3,0
Zan,finetuned_gams9b_eval,6,4,1
Zan,finetuned_gams9b_eval,7,5,1
Zan,finetuned_gams9b_eval,8,1,0
Zan,finetuned_gams9b_eval,9,1,0
Zan,finetuned_gams9b_eval,10,5,1
Zan,finetuned_gams9b_eval,11,4,1
Zan,finetuned_gams9b_eval,12,5,1
Zan,finetuned_gams9b_eval,13,3,0
Zan,finetuned_gams9b_eval,14,3,0
Zan,finetuned_gams9b_eval,15,1,0
Zan,finetuned_gams9b_eval,16,4,0
Zan,finetuned_gams9b_eval,17,5,0
Zan,finetuned_gams9b_eval,18,2,0
Zan,finetuned_gams9b_eval,19,3,1
Zan,finetuned_gams9b_eval,20,3,0
Zan,finetuned_gams9b_eval,21,5,1
Zan,finetuned_gams9b_eval,22,4,0
Zan,finetuned_gams9b_eval,23,1,0
Zan,finetuned_gams9b_eval,24,3,0
Zan,finetuned_gams9b_eval,25,2,0
Zan,finetuned_gams9b_eval,26,4,0
Zan,finetuned_gams9b_eval,27,2,0
Zan,finetuned_gams9b_eval,28,5,1
Zan,finetuned_gams9b_eval,29,1,1
Zan,finetuned_gams9b_eval,30,1,0
Zan,finetuned_instructed_gams9b_eval,1,3,1
Zan,finetuned_instructed_gams9b_eval,2,4,0
Zan,finetuned_instructed_gams9b_eval,3,3,0
Zan,finetuned_instructed_gams9b_eval,4,4,1
Zan,finetuned_instructed_gams9b_eval,5,2,0
Zan,finetuned_instructed_gams9b_eval,6,5,1
Zan,finetuned_instructed_gams9b_eval,7,5,1
Zan,finetuned_instructed_gams9b_eval,8,3,0
Zan,finetuned_instructed_gams9b_eval,9,3,0
Zan,finetuned_instructed_gams9b_eval,10,5,1
Zan,finetuned_instructed_gams9b_eval,11,1,0
Zan,finetuned_instructed_gams9b_eval,12,4,1
Zan,finetuned_instructed_gams9b_eval,13,4,1
Zan,finetuned_instructed_gams9b_eval,14,1,0
Zan,finetuned_instructed_gams9b_eval,15,2,0
Zan,finetuned_instructed_gams9b_eval,16,5,0
Zan,finetuned_instructed_gams9b_eval,17,4,1
Zan,finetuned_instructed_gams9b_eval,18,2,1
Zan,finetuned_instructed_gams9b_eval,19,2,0
Zan,finetuned_instructed_gams9b_eval,20,3,0
Zan,finetuned_instructed_gams9b_eval,21,5,1
Zan,finetuned_instructed_gams9b_eval,22,4,0
Zan,finetuned_instructed_gams9b_eval,23,4,1
Zan,finetuned_instructed_gams9b_eval,24,4,1
Zan,finetuned_instructed_gams9b_eval,25,3,0
Zan,finetuned_instructed_gams9b_eval,26,4,0
Zan,finetuned_instructed_gams9b_eval,27,1,0
Zan,finetuned_instructed_gams9b_eval,28,5,1
Zan,finetuned_instructed_gams9b_eval,29,3,0
Zan,finetuned_instructed_gams9b_eval,30,3,0
